ano,muni_id,muni_nm,uf_sigla,regiao_nm,idhm,idhm_e,idhm_l,idhm_r,espvida,rdpc,gini,pop,lat,lon
2010,3526605,LAVRINHAS,SP,Sudeste,0.729,0.707,0.823,0.665,74.38,500.59,0.55,6437,-22.571,-44.902
2010,3526704,LEME,SP,Sudeste,0.744,0.665,0.851,0.729,76.05,746.15,0.48,91247,-22.186,-47.39
2010,3526803,LENÇÓIS PAULISTA,SP,Sudeste,0.764,0.717,0.837,0.743,75.19,816.48,0.43,61212,-22.599,-48.8
2010,3526902,LIMEIRA,SP,Sudeste,0.775,0.719,0.852,0.761,76.11,910.85,0.48,274960,-22.565,-47.402
2010,3527009,LINDÓIA,SP,Sudeste,0.742,0.654,0.864,0.722,76.85,714.18,0.4,6696,-22.523,-46.65
2010,3527108,LINS,SP,Sudeste,0.786,0.733,0.869,0.762,77.13,919.53,0.45,70583,-21.679,-49.743
2010,3527207,LORENA,SP,Sudeste,0.766,0.713,0.856,0.736,76.35,781.28,0.52,82078,-22.731,-45.125
2010,3527256,LOURDES,SP,Sudeste,0.742,0.717,0.816,0.697,73.96,612,0.37,2101,-20.967,-50.224
2010,3527306,LOUVEIRA,SP,Sudeste,0.777,0.697,0.861,0.783,76.65,1047.17,0.5,37004,-23.086,-46.951
2010,3527405,LUCÉLIA,SP,Sudeste,0.752,0.695,0.841,0.728,75.48,743.2,0.46,18445,-21.72,-51.019
2010,3527504,LUCIANÓPOLIS,SP,Sudeste,0.733,0.662,0.809,0.736,73.55,779.84,0.51,2247,-22.431,-49.523
2010,3527603,LUÍS ANTÔNIO,SP,Sudeste,0.731,0.671,0.822,0.709,74.34,661.22,0.42,11249,-21.555,-47.704
2010,3527702,LUIZIÂNIA,SP,Sudeste,0.702,0.623,0.815,0.682,73.88,557.06,0.35,5008,-21.676,-50.327
2010,3527801,LUPÉRCIO,SP,Sudeste,0.724,0.674,0.83,0.679,74.81,547.3,0.4,4344,-22.415,-49.817
2010,3527900,LUTÉCIA,SP,Sudeste,0.72,0.659,0.846,0.67,75.75,516.35,0.42,2711,-22.34,-50.392
2010,3528007,MACATUBA,SP,Sudeste,0.77,0.697,0.859,0.763,76.52,920.95,0.55,16217,-22.502,-48.711
2010,3528106,MACAUBAL,SP,Sudeste,0.743,0.676,0.844,0.72,75.64,704.61,0.43,7625,-20.806,-49.964
2010,3528205,MACEDÔNIA,SP,Sudeste,0.74,0.675,0.852,0.705,76.09,644.23,0.42,3636,-20.146,-50.194
2010,3528304,MAGDA,SP,Sudeste,0.753,0.717,0.823,0.724,74.38,725.51,0.44,3200,-20.644,-50.226
2010,3528403,MAIRINQUE,SP,Sudeste,0.743,0.684,0.831,0.721,74.85,710.18,0.44,42933,-23.546,-47.183
2010,3528502,MAIRIPORÃ,SP,Sudeste,0.788,0.723,0.881,0.767,77.86,944.03,0.56,80040,-23.319,-46.587
2010,3528601,MANDURI,SP,Sudeste,0.739,0.675,0.818,0.73,74.05,750.34,0.48,8957,-23.003,-49.322
2010,3528700,MARABÁ PAULISTA,SP,Sudeste,0.677,0.591,0.809,0.65,73.54,457.56,0.39,3564,-22.108,-51.963
2010,3528809,MARACAÍ,SP,Sudeste,0.771,0.758,0.85,0.711,75.97,666.65,0.42,13303,-22.611,-50.667
2010,3528858,MARAPOAMA,SP,Sudeste,0.752,0.679,0.852,0.736,76.14,781.03,0.4,2620,-21.259,-49.129
2010,3528908,MARIÁPOLIS,SP,Sudeste,0.718,0.651,0.83,0.684,74.78,565.58,0.37,3913,-21.799,-51.181
2010,3529005,MARÍLIA,SP,Sudeste,0.798,0.776,0.854,0.768,76.26,953.2,0.5,213961,-22.214,-49.946
2010,3529104,MARINÓPOLIS,SP,Sudeste,0.731,0.694,0.825,0.681,74.5,553.24,0.43,2111,-20.441,-50.823
2010,3529203,MARTINÓPOLIS,SP,Sudeste,0.721,0.641,0.832,0.703,74.93,636,0.45,22940,-22.146,-51.171
2010,3529302,MATÃO,SP,Sudeste,0.773,0.713,0.847,0.766,75.84,940.44,0.52,76679,-21.603,-48.366
2010,3529401,MAUÁ,SP,Sudeste,0.766,0.733,0.852,0.721,76.13,709.25,0.44,414910,-23.668,-46.461
2010,3529500,MENDONÇA,SP,Sudeste,0.744,0.663,0.863,0.72,76.78,707.36,0.36,4623,-21.167,-49.581
2010,3529609,MERIDIANO,SP,Sudeste,0.731,0.667,0.817,0.717,74.04,694.38,0.4,3831,-20.359,-50.173
2010,3529658,MESÓPOLIS,SP,Sudeste,0.724,0.666,0.847,0.674,75.84,530.46,0.37,1886,-19.966,-50.638
2010,3529708,MIGUELÓPOLIS,SP,Sudeste,0.741,0.661,0.863,0.712,76.78,670.82,0.46,20370,-20.179,-48.032
2010,3529807,MINEIROS DO TIETÊ,SP,Sudeste,0.73,0.658,0.823,0.719,74.39,700.24,0.39,11982,-22.409,-48.451
